param_type,name,value,fold,alpha_y,alpha_slight,alpha_serious,alpha_fatal
beta,Intercept,-17.87919920051084,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
beta,Frac_Truck,0.5514684616317025,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
beta,SpeedDiff_Car_Van,0.01329595609385043,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
beta,SpeedDiff_Truck,-0.022343719105048097,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
beta,URBAN,0.7604585462304485,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
beta,Link_group_0,-0.1726786844583849,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
beta,Link_group_1,0.0022061501854094365,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
beta,Link_group_2,0.3660625015352924,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
beta,Link_group_3,0.004172460836344968,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
beta,Region Hovedstaden,0.08750266436498093,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
beta,Region Sjælland,-0.2644894392919692,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
beta,Region Syddanmark,0.11333767267819697,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
beta,Region Midtjylland,-0.01459214176053955,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
beta,Region Nordjylland,-0.2780598678838842,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
gamma,Intercept,-2.4638262510153766,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
gamma,Frac_Truck,-0.0679721185226393,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
gamma,FreeSpeed,0.01095988738854352,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
gamma,URBAN,-0.014898737592523244,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
gamma,Link_group_0,-0.9112652433284025,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
gamma,Link_group_1,0.3918241006838152,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
gamma,Link_group_2,0.6099608068852939,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
gamma,Link_group_3,-0.32860688135183336,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
gamma,Region Hovedstaden,0.027133372247260697,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
gamma,Region Sjælland,0.012418820774464252,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
gamma,Region Syddanmark,-0.21443036510205885,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
gamma,Region Midtjylland,-0.03553258586822273,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
gamma,Region Nordjylland,0.1073125424876886,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
delta_slight,Intercept,-0.9537165096004013,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
delta_slight,Link_group_0,0.34684010354085165,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
delta_slight,Link_group_1,0.0018191998317662916,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
delta_slight,Link_group_2,-0.012482477659157654,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
delta_slight,Link_group_3,-0.23760011065621792,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
delta_serious,Intercept,-0.34466459054814813,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
delta_serious,Link_group_0,0.029563778066445483,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
delta_serious,Link_group_1,0.009686416290686764,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
delta_serious,Link_group_2,-0.013749768301463324,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
delta_serious,Link_group_3,-0.13192833412448868,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
delta_fatal,Intercept,-2.550879821126742,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
delta_fatal,Link_group_0,-0.11947741878771484,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
delta_fatal,Link_group_1,0.08421348567597126,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
delta_fatal,Link_group_2,-0.28288507986578537,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
delta_fatal,Link_group_3,0.5136873523231112,1,0.7469339136655855,0.00580809109525664,0.000933786898558522,0.20812640388871215
beta,Intercept,-17.951019532447084,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
beta,Frac_Truck,1.1042005086758937,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
beta,SpeedDiff_Car_Van,0.011417159102811257,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
beta,SpeedDiff_Truck,-0.015886894911945768,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
beta,URBAN,0.7567651349748158,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
beta,Link_group_0,-0.23721969501914736,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
beta,Link_group_1,0.0054626840580161515,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
beta,Link_group_2,0.32075058136682677,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
beta,Link_group_3,-0.009201624478153198,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
beta,Region Hovedstaden,0.19545989500866684,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
beta,Region Sjælland,-0.18517423100752,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
beta,Region Syddanmark,0.13897226252535858,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
beta,Region Midtjylland,0.005109299354767966,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
beta,Region Nordjylland,-0.11451184093640483,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
gamma,Intercept,-2.308736702416956,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
gamma,Frac_Truck,-0.06342976063993801,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
gamma,FreeSpeed,0.00974078076017203,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
gamma,URBAN,-0.02133080226074893,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
gamma,Link_group_0,-1.0607091474472796,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
gamma,Link_group_1,0.4057052449686025,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
gamma,Link_group_2,0.5747405839956217,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
gamma,Link_group_3,-0.17477339475757148,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
gamma,Region Hovedstaden,0.02980771542965797,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
gamma,Region Sjælland,0.019996563245476086,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
gamma,Region Syddanmark,-0.2461459682345957,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
gamma,Region Midtjylland,-0.058281873918738826,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
gamma,Region Nordjylland,0.29365121778517106,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
delta_slight,Intercept,-0.9876866774143133,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
delta_slight,Link_group_0,0.3330888686300018,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
delta_slight,Link_group_1,-0.02903644912049687,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
delta_slight,Link_group_2,0.015738907062525898,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
delta_slight,Link_group_3,-0.38014128663604674,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
delta_serious,Intercept,-0.30603096613992836,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
delta_serious,Link_group_0,0.00021044346817470359,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
delta_serious,Link_group_1,0.01938242166173157,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
delta_serious,Link_group_2,-0.026662985140084618,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
delta_serious,Link_group_3,0.017091122964188587,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
delta_fatal,Intercept,-2.820377630511428,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
delta_fatal,Link_group_0,0.13063052814414156,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
delta_fatal,Link_group_1,0.2935207608183404,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
delta_fatal,Link_group_2,-0.1186124399147248,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
delta_fatal,Link_group_3,-0.4003716312296994,2,0.7555701723175304,0.005263345393926834,0.000505168529811306,0.22157542404426883
beta,Intercept,-17.953540447135875,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
beta,Frac_Truck,1.3478357454824539,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
beta,SpeedDiff_Car_Van,0.01455784022486852,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
beta,SpeedDiff_Truck,-0.02467895532950533,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
beta,URBAN,0.7930931296825272,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
beta,Link_group_0,-0.2002306495007928,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
beta,Link_group_1,-0.003662846535952839,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
beta,Link_group_2,0.3838853930488231,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
beta,Link_group_3,-0.011768968124423164,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
beta,Region Hovedstaden,0.11968182329570749,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
beta,Region Sjælland,-0.22782867456237849,3,0.761290317982118,0.007114571267690862,0.0008564093820932764,0.11243800974259406
